SETOR,MÉTRICA,VALOR,UNIDADE,ANO,FONTE,OPORTUNIDADE_QUAYER
Geral,Consumidores que abandonam marca por atendimento ruim,80,%,2025,Terra/E-Commerce Brasil,CRÍTICA
Geral,Consumidores satisfeitos com atendimento,11,%,2025,Instituto Hibou,CRÍTICA
Geral,Consumidores que mudam de marca,53,%,2025,E-Commerce Brasil,CRÍTICA
Geral,Empresas que perdem por mau atendimento,401,bilhões R$,2017,Accenture,CRÍTICA
Geral,Consumidores que comentam experiência negativa,47.8,%,2025,E-Commerce Brasil,CRÍTICA
Geral,Que publicam em redes sociais,19.4,%,2025,E-Commerce Brasil,ALTA
Geral,Que recorrem a avaliações públicas,31.8,%,2025,PecaMentor,ALTA
Geral,Que evitam novas compras,58.8,%,2025,PecaMentor,CRÍTICA
Geral,Taxa de churn por insatisfação,25,%,2025,Contábeis.com,ALTA
Geral,Reclamações sobre demora excessiva,58.6,%,2025,PecaMentor,CRÍTICA
Geral,Mensagens genéricas sem solução,55,%,2025,PecaMentor,ALTA
Geral,Atendimento encerrado sem solução,44.4,%,2025,PecaMentor,ALTA
Geral,Consumidores que apontam despreparo,58,%,2025,E-Commerce Brasil,CRÍTICA
Geral,Disposição a pagar mais por atendimento melhor,68,%,2025,Pesquisa geral,MÉDIA
Geral,Consumidores que preferem contato humano,73.2,%,2026,PecaMentor,MÉDIA
Geral,Crescimento reclamações ES,28,%,2025,Procon ES,CRÍTICA
Telefonia,NPS - Telefonia/Banda Larga,21,pontos,2024,Opinion Box,CRÍTICA
Telefonia,Descontentamento com operadoras,41,%,2025,Exame,CRÍTICA
Telefonia,Claro - Pontos/Reclamações,14445,pontos,2025,Reclame Aqui,CRÍTICA
Telefonia,Vivo - Pontos/Reclamações,14415,pontos,2025,Reclame Aqui,CRÍTICA
Telefonia,Taxa de resposta Claro,50,%,2025,Reclame Aqui,CRÍTICA
Telefonia,Cobrança indevida,33.75,%,2025,Reclame Aqui,CRÍTICA
Telefonia,Problemas internet,22.88,%,2025,Reclame Aqui,CRÍTICA
Bancos,NPS - Bancos,43,pontos,2024,Opinion Box,ALTA
Bancos,Descontentamento com bancos,33,%,2025,Exame,ALTA
Bancos,Banco do Brasil - Total Reclamações,23832,reclamações,2025,Reclame Aqui,ALTA
Bancos,BD Brasil - Taxa resposta,77.4,%,2025,Reclame Aqui,ALTA
Bancos,BB - Tempo médio resposta,10.42,dias,2025,Reclame Aqui,ALTA
Bancos,Banco BMG - Total Reclamações,13248,reclamações,2025,Reclame Aqui,ALTA
Bancos,BMG - Taxa resposta,94.9,%,2025,Reclame Aqui,ALTA
Bancos,BMG - Tempo médio resposta,8.71,dias,2025,Reclame Aqui,ALTA
Bancos,Serasa Experian - % de reclamações,10.37,%,2026,Consumidor.gov,ALTA
Bancos,Serasa SP - Reclamações,8170,reclamações,2026,Consumidor.gov,ALTA
Bancos,Serasa MG,2746,reclamações,2026,Consumidor.gov,ALTA
Bancos,Serasa RJ,2442,reclamações,2026,Consumidor.gov,ALTA
E-commerce,% de todas reclamações,22.6,%,2021,Reclame Aqui,CRÍTICA
E-commerce,Descontentamento varejo,35,%,2025,Exame,CRÍTICA
E-commerce,Yeesco/Mercado Livre - Ranking,Top 5,ranking,2025,Procon SP,CRÍTICA
E-commerce,E-commerce Brasil - Reclamações,4,reclamações,2025,Reclame Aqui,MÉDIA
E-commerce,E-commerce Brasil - Taxa resposta,25,%,2025,Reclame Aqui,MÉDIA
Delivery,Ranking % de reclamações,7,%,2021,Reclame Aqui,CRÍTICA
Delivery,iFood - Reclamações,273000,reclamações,2021,Reclame Aqui,CRÍTICA
Delivery,Rappi - Reclamações,41200,reclamações,2021,Reclame Aqui,CRÍTICA
Delivery,Uber Eats - Reclamações,24500,reclamações,2021,Reclame Aqui,CRÍTICA
Delivery,99Food - Reclamações,10300,reclamações,2021,Reclame Aqui,CRÍTICA
Saúde,NPS - Planos Saúde,45,pontos,2024,Opinion Box,ALTA
Saúde,Descontentamento saúde,27,%,2025,Exame,ALTA
Saúde,Humana Saúde - Reclamações MA,116,reclamações,2025,Procon MA,ALTA
Saúde,Equatorial Maranhão - Reclamações,92,reclamações,2025,Procon MA,ALTA
Saúde,Mais Saúde - Tempo resposta,28.42,dias,2025,Reclame Aqui,ALTA
Saúde,Universidade Anhanguera - NPS,5.8,pontos,2025,Reclame Aqui,ALTA
Saúde,Anhanguera - Cobrança indevida,31.27,%,2025,Reclame Aqui,ALTA
Saúde,Anhanguera - Problemas plataforma,41.58,%,2025,Reclame Aqui,ALTA
Seguros,NPS - Seguros,45,pontos,2024,Opinion Box,ALTA
Seguros,Porto Seguro - Taxa resolução,74.4,%,2025,Reclame Aqui,ALTA
Seguros,Porto Seguro - Tempo resposta,8.75,dias,2025,Reclame Aqui,ALTA
